City,Date,Cloudiness,Countries,humidity,lat,lon,maxTemp,windSpeed
Busselton,1583882439,0,AU,44,-33.65,115.33,19.44,3.58
Itarema,1583882440,97,BR,91,-2.92,-39.92,24.12,1.84
Ushuaia,1583882441,40,AR,61,-54.8,-68.3,10.0,6.2
Santa Maria,1583882425,57,BR,51,-29.68,-53.81,26.66,5.5
Mar del Plata,1583882396,40,AR,77,-38.0,-57.56,19.0,5.1
Bonthe,1583882444,100,SL,84,7.53,-12.51,24.81,2.25
Jamestown,1583882229,90,US,86,42.1,-79.24,4.0,4.6
Kapaa,1583882399,40,US,61,22.08,-159.32,26.0,4.6
Yerbogachën,1583882447,3,RU,93,61.28,108.01,-34.23,1.39
Mattru,1583882448,100,SL,88,7.62,-11.83,24.68,1.38
Yellowknife,1583882449,75,CA,78,62.46,-114.35,-8.33,5.7
Punta Arenas,1583882450,90,CL,61,-53.15,-70.92,9.0,4.1
Mataura,1583882451,87,NZ,70,-46.19,168.86,12.22,1.34
Atasū,1583882453,0,KZ,39,48.68,71.64,-10.9,1.49
Viedma,1583882454,100,AR,53,-40.81,-63.0,20.52,8.3
Riyadh,1583882223,0,SA,44,24.69,46.72,15.0,1.97
Vaini,1583882456,75,TO,88,-21.2,-175.2,28.0,3.6
Grindavik,1583882457,100,IS,80,63.84,-22.43,2.0,12.9
Avarua,1583882458,4,CK,74,-21.21,-159.78,28.0,5.1
Koslan,1583882459,96,RU,94,63.46,48.9,-1.07,3.33
Atuona,1583882460,44,PF,72,-9.8,-139.03,27.65,7.23
Cape Town,1583882461,49,ZA,72,-33.93,18.42,20.0,1.5
Carnarvon,1583882462,40,AU,100,-24.87,113.63,22.0,2.1
Hakkâri Province,1583882463,100,TR,52,37.58,44.17,-2.34,1.31
Arraial do Cabo,1583882464,20,BR,83,-22.97,-42.03,25.0,2.1
Bambanglipuro,1583882465,23,ID,87,-7.95,110.28,25.28,1.42
Dārāb,1583882466,0,IR,20,28.75,54.54,7.47,0.62
Aberdeen,1583882380,0,GB,69,57.14,-2.1,4.44,5.1
Dikson,1583882468,100,RU,93,73.51,80.55,-6.57,8.97
Rikitea,1583882469,32,PF,83,-23.12,-134.97,25.87,6.98
Bredasdorp,1583882470,92,ZA,68,-34.53,20.04,21.0,5.7
Tegul'det,1583882471,100,RU,95,57.31,88.17,-12.98,4.44
Ambahta,1583882472,100,IN,49,29.85,77.33,15.61,2.73
Qaanaaq,1583882473,0,GL,61,77.48,-69.36,-33.25,2.13
Hermanus,1583882474,85,ZA,78,-34.42,19.23,20.56,2.68
Albany,1583882195,90,US,71,42.6,-73.97,15.0,3.1
Tiksi,1583882476,57,RU,85,71.69,128.87,-33.23,2.1
Edson,1583882468,1,CA,32,53.58,-116.44,5.0,4.6
Hambantota,1583882478,0,LK,83,6.12,81.12,25.78,5.49
Pundaguitan,1583882481,50,PH,75,6.37,126.17,26.03,2.71
Norman Wells,1583882482,75,CA,70,65.28,-126.83,-21.0,9.3
Ishigaki,1583882483,75,JP,72,24.34,124.16,17.0,6.7
San Patricio,1583882397,75,MX,83,19.22,-104.7,28.0,2.6
Sosnovo-Ozerskoye,1583882486,72,RU,81,52.52,111.54,-12.76,5.47
Mount Gambier,1583882487,40,AU,82,-37.83,140.77,15.0,4.6
Peterhead,1583882488,4,GB,69,57.51,-1.8,4.44,5.1
Kaitangata,1583882489,97,NZ,62,-46.28,169.85,12.78,1.79
Mahébourg,1583882490,75,MU,94,-20.41,57.7,26.0,2.6
Cayenne,1583882491,27,GF,74,4.93,-52.33,26.0,2.6
Nichinan,1583882492,40,JP,65,31.6,131.37,10.0,7.2
Faanui,1583882493,79,PF,71,-16.48,-151.75,28.32,4.23
Tayu,1583882494,88,ID,85,-6.54,111.05,26.3,1.68
Quatre Cocos,1583882495,75,MU,94,-20.21,57.76,26.0,2.6
Ust'-Ishim,1583882496,93,RU,94,57.69,71.17,-3.79,4.51
Saint-Philippe,1583882497,14,RE,88,-21.36,55.77,26.0,10.8
Castro,1583882459,0,BR,68,-24.79,-50.01,18.29,2.68
Prachuap Khiri Khan,1583882500,6,TH,76,11.82,99.78,24.6,2.3
Parabel',1583882501,100,RU,88,58.7,81.48,-5.84,4.99
São Filipe,1583882502,0,CV,73,14.9,-24.5,21.85,5.12
Saint Paul Harbor,1583882503,1,US,35,57.79,-152.41,-4.0,9.8
Pevek,1583882505,82,RU,94,69.7,170.31,-25.17,1.87
Makakilo City,1583882400,20,US,57,21.35,-158.09,27.0,2.1
Cabedelo,1583882388,20,BR,78,-6.98,-34.83,28.0,3.1
Butaritari,1583882509,100,KI,79,3.07,172.79,28.73,8.61
LaBelle,1583882510,1,US,53,26.76,-81.44,25.0,5.7
Korla,1583882512,0,CN,81,41.76,86.15,2.78,1.79
Saint George,1583882425,90,US,42,37.1,-113.58,17.0,3.6
Maturin,1583882516,27,VE,69,9.75,-63.18,24.68,4.66
Preobrazheniye,1583882518,100,RU,71,42.9,133.91,-1.55,3.21
Lüderitz,1583882519,53,NA,82,-26.65,15.16,17.0,5.7
Mildura,1583882520,0,AU,49,-34.2,142.15,27.22,5.1
Djenné,1583882521,62,ML,7,13.91,-4.55,24.86,4.96
Bonavista,1583882522,97,CA,57,48.65,-53.11,-7.78,3.13
Najrān,1583882523,5,SA,36,17.49,44.13,16.0,0.61
Thompson,1583882525,20,CA,51,55.74,-97.86,-11.0,3.1
Soyo,1583882526,100,AO,82,-6.13,12.37,27.03,1.05
Severo-Kuril'sk,1583882527,100,RU,98,50.68,156.12,-1.35,5.51
Kruisfontein,1583882529,100,ZA,90,-34.0,24.73,17.71,4.89
Halifax,1583882339,90,CA,100,44.65,-63.57,2.78,3.6
Hobart,1583882418,20,AU,76,-42.88,147.33,18.89,3.6
Cabo San Lucas,1583882532,90,MX,44,22.89,-109.91,27.78,2.1
Cherskiy,1583882533,99,RU,92,68.75,161.3,-24.45,1.29
Saldanha,1583882534,90,ZA,64,-33.01,17.94,21.0,1.5
Zhenlai,1583882535,0,CN,72,45.85,123.3,-5.62,1.31
Río Gallegos,1583882332,100,AR,53,-51.62,-69.22,11.0,4.6
Port Alfred,1583882539,100,ZA,98,-33.59,26.89,18.33,0.89
Talnakh,1583882540,90,RU,92,69.49,88.4,-13.0,18.0
Miguel Hidalgo,1583882482,75,MX,28,19.42,-99.2,32.0,5.1
Fairbanks,1583882431,40,US,59,64.84,-147.72,-16.67,4.1
Atessa,1583882544,77,IT,87,42.07,14.45,6.0,2.1
Oranjemund,1583882545,100,NA,92,-28.55,16.43,16.82,1.32
Vila Velha,1583882546,75,BR,88,-20.33,-40.29,25.56,3.6
Bubaque,1583882547,100,GW,72,11.28,-15.83,26.35,5.15
Port-Gentil,1583882548,20,GA,89,-0.72,8.78,29.0,2.6
Abu Dhabi,1583882549,0,AE,63,24.47,54.37,22.22,2.6
Klaksvík,1583882550,100,FO,86,62.23,-6.59,4.0,12.9
Lebu,1583882551,100,CL,76,-37.62,-73.65,15.87,1.6
